Tweet,Borough,Hate Prediction,Tweet Date,Latitude,Longitude
she’s an ignorant lump of dogshite end of,Enfield,sexism,2022-12-16 07:51:34+00:00,51.6520851,-0.0810175
sue the arse of the filthy british msm harry,Hackney,racism,2022-12-16 07:17:34+00:00,51.5432402,-0.0493621
control room b englishpoundsforahotdog dystopian,Camberwell,other,2022-12-16 06:56:24+00:00,51.4745706,-0.0925416
fucking minging,Hackney,other,2022-12-16 06:09:56+00:00,51.5432402,-0.0493621
so many of you fag’s are time wasters shout out to the real fag’s that tribute without being prompted and know how to serve their masters 👌🏽,Paddington,sexual_orientation,2022-12-16 03:02:10+00:00,51.5185075,-0.1787546
this page is solely for the intent of rinsing faggots if you waste my time you’ll be straight up blocked 🚫,Paddington,sexual_orientation,2022-12-16 03:01:05+00:00,51.5185075,-0.1787546
divine pussy i would come in with these wonderful lips with tongue and lick your pussy into the juice and then i would come in with my thick cock inside and fuck you as you would let,Brent,sexism,2022-12-16 01:49:46+00:00,51.5639957,-0.27590641378489267
divine pussy i would come in with these wonderful lips with tongue and lick your pussy into the juice and then i would come in with my thick cock inside and fuck you as you would let,Brent,sexism,2022-12-16 01:13:52+00:00,51.5639957,-0.27590641378489267
divine pussy i would come in with these wonderful lips with tongue and lick your pussy into the juice and then i would come in with my thick cock inside and fuck you as you would let,Brent,sexism,2022-12-16 01:05:49+00:00,51.5639957,-0.27590641378489267
cool mate dream team,Harrow,other,2022-12-16 01:04:28+00:00,51.596827149999996,-0.3373046180437286
simo your wife is such a whore,Paddington,sexism,2022-12-16 01:01:45+00:00,51.5185075,-0.1787546
divine pussy i would come in with these wonderful lips with tongue and lick your pussy into the juice and then i would come in with my thick cock inside and fuck you as you would let,Brent,sexism,2022-12-16 00:38:25+00:00,51.5639957,-0.27590641378489267
right traitorsuk catch up …before any spoilers …,Merton,other,2022-12-16 00:12:45+00:00,51.41086985,-0.18809708858824303
philippine government,Camberwell,other,2022-12-16 00:06:23+00:00,51.4745706,-0.0925416
divine pussy i would tongue those wonderful lips and lick your pussy in the juice and then i would put my fat cock inside and fuck you if you let me,Brent,sexism,2022-12-15 23:48:51+00:00,51.5639957,-0.27590641378489267
oh sophia you don’t get to call me racist with zero evidence to support that disgusting lie and get away with it be better you shameless racebaiter,Kensington,sexism,2022-12-15 23:46:26+00:00,51.4989948,-0.1991229
edf budget dd monthly ecobarnet north london,Barnet,other,2022-12-15 23:43:29+00:00,51.65309,-0.2002261
perverts normalising perversions,Barnet,sexual_orientation,2022-12-15 23:29:31+00:00,51.65309,-0.2002261
are you also praying for our homeless who are sleeping on pavements in this freezing weather how many will freeze to death tonight whilst illegals have hotel accommodation 🤬🤬🤬,Hounslow,racism,2022-12-15 23:24:10+00:00,51.4686132,-0.3613471
shes a honest thiefs 😏👎👍,Barnet,sexism,2022-12-15 23:18:40+00:00,51.65309,-0.2002261
nay ladno chip supper ont way ome,Lewisham,other,2022-12-15 23:09:23+00:00,51.4624292,-0.0101787
hitchens is looking rather hirsute these days bbcqt,Wandsworth,religion,2022-12-15 22:56:39+00:00,51.4570271,-0.1932607
ice ice baby… london united kingdom,City of London,other,2022-12-15 22:51:24+00:00,51.515053699999996,-0.09311889867661148
ok pillow panic overreaction sorted richmond harbour hotel amp spa,Richmond,other,2022-12-15 22:35:45+00:00,51.4405529,-0.3076394377337949
hood rats and thugs,Enfield,racism,2022-12-15 22:30:10+00:00,51.6520851,-0.0810175
no we need more proper processing centres and deal with racist terrorist enablers like you,Bromley,racism,2022-12-15 22:24:31+00:00,51.36685695,0.061709076090816765
recent shapes london united kingdom,City of London,other,2022-12-15 22:20:52+00:00,51.515053699999996,-0.09311889867661148
oh you’re hard go to bed there is school tomorrow…and don’t use your sock for your wank your mums knows about this,Wandsworth,sexism,2022-12-15 22:07:37+00:00,51.4570271,-0.1932607
if women controlled the world😆,Hackney,sexism,2022-12-15 22:01:29+00:00,51.5432402,-0.0493621
likewise babe stay alone i say … it’s easier 😂😂,Barnet,sexism,2022-12-15 21:47:48+00:00,51.65309,-0.2002261
gas street lamp covent garden covent garden london uk,London,other,2022-12-15 21:37:17+00:00,36.4846239,-119.44405977174983
top tweet mate think thats about it money nothing else faggot,Hounslow,sexual_orientation,2022-12-15 21:34:56+00:00,51.4686132,-0.3613471
can they not just pick the trays of maggots up and tip them in thetraitors,Islington,religion,2022-12-15 21:22:39+00:00,51.5384287,-0.0999051
whos tougher than this bitch whos freer than me,Hackney,sexism,2022-12-15 21:18:02+00:00,51.5432402,-0.0493621
fuck off hannah thetraitors,Camberwell,sexism,2022-12-15 21:11:43+00:00,51.4745706,-0.0925416
okay hush now traitors starting,Hillingdon,other,2022-12-15 21:07:45+00:00,51.542519299999995,-0.44833493117949663
when the tops come down chicks top come down…,London,sexism,2022-12-15 21:00:31+00:00,36.4846239,-119.44405977174983
ready to tweet fuck off hannah a few times thetraitors,Camberwell,sexism,2022-12-15 21:00:28+00:00,51.4745706,-0.0925416
were back nndoctorwho davidtennant catherinetate dw,Bexley,other,2022-12-15 20:57:10+00:00,51.4416793,0.150488
who the hell is buying tickets to this creepy cunt,Paddington,sexism,2022-12-15 20:40:09+00:00,51.5185075,-0.1787546
maria caufield is a having the temerity of saying in relation to nurses taking industrial action should not go on strikenot enough money available yet this repulsive woman claimed an enormous total of million pounds in paid for,Ealing,sexism,2022-12-15 20:28:19+00:00,51.5126553,-0.3051952
harryandmeganareonanotherplanetndillusional idiots 🐍 🐍 overseas live in cloud cuckoo land,Camberwell,other,2022-12-15 20:21:00+00:00,51.4745706,-0.0925416
‘all i want for christmas is you’ is like chinese water to torture at this point,Lambeth,racism,2022-12-15 20:12:28+00:00,51.4952111,-0.1163354
tonight sings frank sinatra london indigoo rehearsals,Greenwich,other,2022-12-15 19:59:05+00:00,51.46862565,0.04883057313755089
stop leicester square nnlondon leicestersquare mampmworld waxyoconner waxy aw leicester square,London,other,2022-12-15 19:48:46+00:00,36.4846239,-119.44405977174983
they’re becoming their own apostates,Barnet,religion,2022-12-15 19:29:48+00:00,51.65309,-0.2002261
two bloody ignorants idiots 🤡🤡,Barnet,disability,2022-12-15 19:26:41+00:00,51.65309,-0.2002261
smoke break chinatown,London,other,2022-12-15 19:20:11+00:00,36.4846239,-119.44405977174983
stfu so she should remain with her psychotic mother,Camberwell,sexism,2022-12-15 18:42:38+00:00,51.4745706,-0.0925416
‘economic migrants’ this country is a shithole in itself but even so the conditions are better than the countries they are fleeing the uk benefits system is one of the worst systems ever dfkm 😂😂,Hackney,racism,2022-12-15 18:28:47+00:00,51.5432402,-0.0493621
vile bitch,Hackney,sexism,2022-12-15 18:27:23+00:00,51.5432402,-0.0493621
labour voter all my adult life until you stop pandering to the rights of men over ours i cannot vote for you again labourlosingwomen,Wandsworth,sexism,2022-12-15 17:57:54+00:00,51.4570271,-0.1932607
rogergracieacademy nbjj london united kingdom,City of London,other,2022-12-15 17:49:44+00:00,51.515053699999996,-0.09311889867661148
labour abstained,City of London,other,2022-12-15 17:30:09+00:00,51.515053699999996,-0.09311889867661148
hes such a poorly dressed twat,Hackney,sexism,2022-12-15 17:28:30+00:00,51.5432402,-0.0493621
bro just shut the fuck up,Hackney,sexual_orientation,2022-12-15 17:27:33+00:00,51.5432402,-0.0493621
fascist bigots,Romford,religion,2022-12-15 17:26:42+00:00,51.5760462,0.1822646
uk special forces operations syria,London,other,2022-12-15 17:25:57+00:00,36.4846239,-119.44405977174983
london momentsnnnnnlondon londoncity moments travel winter photography england amazing time london uk,Paddington,other,2022-12-15 17:21:34+00:00,51.5185075,-0.1787546
women will never understand and that’s the okay loooool,Camberwell,sexism,2022-12-15 17:21:05+00:00,51.4745706,-0.0925416
try cafe leon dore,Paddington,other,2022-12-15 17:08:33+00:00,51.5185075,-0.1787546
because the only viable alternative is a fag paper away,City of London,sexual_orientation,2022-12-15 17:07:44+00:00,51.515053699999996,-0.09311889867661148
skilled politician super writer great pub no hasbeensnhappy birthday,London,other,2022-12-15 16:44:45+00:00,36.4846239,-119.44405977174983
parasites rich rightwing parasites,Lewisham,other,2022-12-15 16:41:59+00:00,51.4624292,-0.0101787
phenoxymethylpenicillin solutionnnserious shortage protocol sspnn,Ealing,other,2022-12-15 16:35:25+00:00,51.5126553,-0.3051952
nice nothing better than guarding a shit hot hard as nails celtic woman think id prefer to fight in warmer climates,Greenwich,sexism,2022-12-15 16:12:03+00:00,51.46862565,0.04883057313755089
thanks filip,Lambeth,other,2022-12-15 16:04:41+00:00,51.4952111,-0.1163354
i keep thinking about all those vacancies the albanians could fill if we gave them a route too pay for a visa instead of smuggler economic migrants boost economies,Hackney,racism,2022-12-15 15:47:49+00:00,51.5432402,-0.0493621
nkerem english account ninternational account n,Lambeth,other,2022-12-15 15:28:43+00:00,51.4952111,-0.1163354
co n📸 london united kingdom,City of London,other,2022-12-15 15:25:47+00:00,51.515053699999996,-0.09311889867661148
a man that cooks gtgtgtgt,Poplar,sexism,2022-12-15 15:24:20+00:00,51.5110713,-0.0144629
lostalone guilty live boston music room london via nn,Barnet,other,2022-12-15 15:11:54+00:00,51.65309,-0.2002261
lies people tweet,Croydon,other,2022-12-15 15:02:11+00:00,51.3713049,-0.101957
class will stand outnbut i don’t think gullu butts will understand that n,Hillingdon,other,2022-12-15 14:52:39+00:00,51.542519299999995,-0.44833493117949663
keep on fooling soon you will come and cry 😢 live on tv because your husband is sleeping with hookup girls,Enfield,sexism,2022-12-15 14:47:19+00:00,51.6520851,-0.0810175
audi sq brake wear sensor repaired london united kingdom,City of London,other,2022-12-15 14:20:42+00:00,51.515053699999996,-0.09311889867661148
utter fucking wank,Islington,sexism,2022-12-15 14:06:30+00:00,51.5384287,-0.0999051
fenian honey monsters,Greenwich,other,2022-12-15 14:03:08+00:00,51.46862565,0.04883057313755089
weebri digging joydivision iancurtis kevincummins vintage joydivision prints paul stolper gallery,Camden Town,other,2022-12-15 13:45:47+00:00,51.5423045,-0.1395604
✅ iot solutions world congress n✅ south summit n✅ valencia digital summitn✅ flaman✅ web summit n✅ world travel market london,London,other,2022-12-15 13:40:44+00:00,36.4846239,-119.44405977174983
new specs time glasses guysinglasses guyswithbeards,Bexley,other,2022-12-15 13:34:52+00:00,51.4416793,0.150488
its the eus responsibility to deal with the illegal immigrants that have flooded in to their member states thanks to their disastrous policies and incompetence not the uk,Enfield,racism,2022-12-15 13:30:18+00:00,51.6520851,-0.0810175
milan be like,Camberwell,other,2022-12-15 13:21:58+00:00,51.4745706,-0.0925416
who come be orphan everyone get father make e collect,Brent,other,2022-12-15 13:10:15+00:00,51.5639957,-0.27590641378489267
meghan lost a baby because of the gutter press and scums like you now take a pose or four to reflect on it…,Wandsworth,sexism,2022-12-15 13:03:09+00:00,51.4570271,-0.1932607
ah video bi con na dh mais askip lolou dou snitch😭,Brent,sexism,2022-12-15 12:59:10+00:00,51.5639957,-0.27590641378489267
does she actually know what being a conservative isnwestminster vichy feminist women need her like a hole in the head,Camden Town,sexism,2022-12-15 12:43:41+00:00,51.5423045,-0.1395604
nurses posties rail workers teachers one fight,Ealing,other,2022-12-15 12:39:37+00:00,51.5126553,-0.3051952
love idiotcrasy,Hackney,other,2022-12-15 12:26:14+00:00,51.5432402,-0.0493621
post senza parole 🙂😉🥂nnnnfriendship randommeet journalist pianist composer noncipossocredere quandomenoteloaspetti parlideldiavolo london united kingdom,City of London,other,2022-12-15 12:13:47+00:00,51.515053699999996,-0.09311889867661148
stupid woman clearly doesn’t understand shift work and thinks nursing staff don’t sometimes have quiet periods when on duty and other days when they are rushed off their feet,Lewisham,sexism,2022-12-15 12:13:42+00:00,51.4624292,-0.0101787
isnt it funny how the only solution to stopping illegal immigration these woke clowns can ever come up with is always open borders and unlimited mass migrationnno thanks,Enfield,racism,2022-12-15 12:13:29+00:00,51.6520851,-0.0810175
all made in china probably,Lambeth,racism,2022-12-15 12:12:40+00:00,51.4952111,-0.1163354
why does our goverment still give the french millions to stop these boats leaving their shores then it is a waste of our money i agree with you that the french have no real incentive to stop these illegal immigrants from leaving their shores for the uk,Barnet,racism,2022-12-15 12:11:51+00:00,51.65309,-0.2002261
well he need to return pak nation tex looted money first,Poplar,other,2022-12-15 12:03:28+00:00,51.5110713,-0.0144629
scum bag,Bromley,racism,2022-12-15 11:59:43+00:00,51.36685695,0.061709076090816765
surely after what the chinese have seen in ukraine hǎishēnwǎi would be a easier target for them to take back 😉ntreatyoftientsin conventionofpeking,Brent,racism,2022-12-15 11:39:05+00:00,51.5639957,-0.27590641378489267
the nhs is useless,Harrow,religion,2022-12-15 11:38:02+00:00,51.596827149999996,-0.3373046180437286
maybe they just aren’t twats like harry and meg,Richmond,sexism,2022-12-15 11:34:35+00:00,51.4405529,-0.3076394377337949
south korea,Hounslow,other,2022-12-15 11:11:48+00:00,51.4686132,-0.3613471
no do fuck off🤦🏻‍♀️ive had enough of foreign objects trying to kill us all off nfrom viruses bacteria russia to asteroids🙄bring back the dinosaurs🤦🏻‍♀️,Croydon,racism,2022-12-15 10:59:04+00:00,51.3713049,-0.101957
punchline punched back live london knn via nn,Barnet,other,2022-12-15 10:44:49+00:00,51.65309,-0.2002261
north korean fag packets songbun caste system gt hm gov’s plain packing dictat,Poplar,sexual_orientation,2022-12-15 10:40:46+00:00,51.5110713,-0.0144629
amp restitute all lands illegally grabbed with us help amp full support,Lambeth,other,2022-12-15 10:20:28+00:00,51.4952111,-0.1163354
back before skiing went cuck,Lewisham,sexism,2022-12-15 10:05:50+00:00,51.4624292,-0.0101787
fairpayfornurses workinginawinterwonderland charing cross hospital,Hammersmith,other,2022-12-15 09:48:02+00:00,51.4920377,-0.2236401
sounds like we’re turning into a mini china,Barnet,racism,2022-12-15 09:46:40+00:00,51.65309,-0.2002261
suck it up sister,Camberwell,sexism,2022-12-15 09:44:16+00:00,51.4745706,-0.0925416
you do the rest and find a woman who can cook…simple😂😂😂,Poplar,sexism,2022-12-15 09:42:13+00:00,51.5110713,-0.0144629
dawn french dear fatty,Romford,other,2022-12-15 09:38:05+00:00,51.5760462,0.1822646
dawn french dear fatty,Romford,other,2022-12-15 09:36:53+00:00,51.5760462,0.1822646
smart home video wireless wifi doorbellnnfree delivery nn smarthouse smarthometechnology,Camberwell,other,2022-12-15 08:58:29+00:00,51.4745706,-0.0925416
unfortunately this days is happening everywhere freaking retardeds idiots whos blaming others for theirs own personal stupidly lifes thanks too farages and his mates freaking racists 😠👍,Barnet,other,2022-12-15 08:35:17+00:00,51.65309,-0.2002261
always believed that stallion bitch was lying her ass off about tory shooting her…and now it’s all unravelling and she’ll soon become irrelevant 🥳,Lewisham,sexism,2022-12-15 08:34:45+00:00,51.4624292,-0.0101787
pesky little immigrant aka another yt middle class coloniser,Lambeth,other,2022-12-15 08:26:28+00:00,51.4952111,-0.1163354
you looked at the footwell and amongst the crumpled fag packets there was or at least you thought there was a ladies shoe with traces of congealed blood on it,London,sexual_orientation,2022-12-15 08:26:13+00:00,36.4846239,-119.44405977174983
as usual fucksnkrs,Lambeth,sexual_orientation,2022-12-15 08:21:42+00:00,51.4952111,-0.1163354
funk,Lambeth,sexual_orientation,2022-12-15 08:11:11+00:00,51.4952111,-0.1163354
girl get up youre not a baby,City of London,sexism,2022-12-15 07:56:44+00:00,51.515053699999996,-0.09311889867661148
mustve seen those drowned refugees as an early christmas presentnshe is another level of evil,Hackney,racism,2022-12-15 07:19:33+00:00,51.5432402,-0.0493621
paid to speak presumably by idiots of some variety i would though happily pay towards never hearing another word from this avaricious racist womanusing creep,Enfield,sexism,2022-12-15 07:09:01+00:00,51.6520851,-0.0810175
awww gays and their grindr sex fantasies and when you come over min and job done cah bitch can’t take it,Lambeth,sexual_orientation,2022-12-15 07:00:41+00:00,51.4952111,-0.1163354
its like yorks sightly slighter more elegant sister,London,other,2022-12-15 06:28:44+00:00,36.4846239,-119.44405977174983
im going to start making u bitches sign ndas,Islington,sexism,2022-12-15 06:24:17+00:00,51.5384287,-0.0999051
arsehole fairpayfornursing,Hackney,other,2022-12-15 06:13:27+00:00,51.5432402,-0.0493621
ping ‘something went wrong’ close,Kensington,other,2022-12-15 06:08:41+00:00,51.4989948,-0.1991229
advice london united kingdom,City of London,other,2022-12-15 04:58:55+00:00,51.515053699999996,-0.09311889867661148
scum,Camden Town,sexism,2022-12-15 04:16:28+00:00,51.5423045,-0.1395604
well done well done you are not the good guys here you misogynistic wanker women will remember,Camden Town,sexism,2022-12-15 04:14:53+00:00,51.5423045,-0.1395604
omg fuck that hoe,Hackney,sexism,2022-12-15 03:47:24+00:00,51.5432402,-0.0493621
metoonnno andy no fedal no alcaraznnwhat story kyrgios winging throughout,Wandsworth,other,2022-12-15 03:44:32+00:00,51.4570271,-0.1932607
maybe my biggest cum shot found this from my onlyfans archive nncumshot massivecumshot bigdick bigcock bigcumshot fag,Poplar,sexual_orientation,2022-12-15 03:39:26+00:00,51.5110713,-0.0144629
and you have an earring in your navel a wonderful pussy i would lick it off,Brent,sexism,2022-12-15 03:33:04+00:00,51.5639957,-0.27590641378489267
my spunk chair at least years worth of spunk now goon cunt,Poplar,sexism,2022-12-15 03:20:27+00:00,51.5110713,-0.0144629
unlimited immigration,Romford,racism,2022-12-15 01:41:40+00:00,51.5760462,0.1822646
hyperborea,Lewisham,other,2022-12-15 00:27:30+00:00,51.4624292,-0.0101787
melting ice brings chinese threat closer warns armed forces chief via,Paddington,other,2022-12-15 00:17:28+00:00,51.5185075,-0.1787546
‘we can’t even protect ourselves’ beijing hospital chaos as cases surge via,Paddington,racism,2022-12-14 23:50:27+00:00,51.5185075,-0.1787546
stoic advise nriptwitchboss nsuicideprevention london united kingdom,City of London,other,2022-12-14 23:43:21+00:00,51.515053699999996,-0.09311889867661148
this kid is totally and absolutely indoctrinatedsad talibankids,Harrow,religion,2022-12-14 23:40:22+00:00,51.596827149999996,-0.3373046180437286
thieves bandits,Kingston upon Thames,other,2022-12-14 23:36:52+00:00,51.4096275,-0.3062621
asx falls nz gdp beats expectations appen ceo exits via,Paddington,other,2022-12-14 23:36:43+00:00,51.5185075,-0.1787546
may and every racist toryscum know the terror that the those desperate refugees felt crossing the channelnwe need a world without toryscum,Hackney,racism,2022-12-14 23:10:02+00:00,51.5432402,-0.0493621
bluenote london unιted kingdom,Camberwell,other,2022-12-14 22:49:26+00:00,51.4745706,-0.0925416
so illegal immigrants arrive here this year say half the british army to look after these illegal immigrants costs us say £ billion a year not impressed no one is doing enough i’m still working like a dog and i’m not being keep warm by anyone,Merton,racism,2022-12-14 22:15:08+00:00,51.41086985,-0.18809708858824303
fuck you and fuck buhari also,Barking,religion,2022-12-14 22:01:12+00:00,51.5389922,0.0804245
irans pomegranate exports increase via,Paddington,other,2022-12-14 21:57:53+00:00,51.5185075,-0.1787546
kung fu fighting ndancing queen ntribal spaceman nand all thats in between … nn,Barnet,other,2022-12-14 21:56:37+00:00,51.65309,-0.2002261
bitch fall back and send that to your father 🙄 fucking cunt,Islington,sexism,2022-12-14 21:51:30+00:00,51.5384287,-0.0999051
ok just ordered of these little bitches on prime ready to serve business slut when i’m taking important client calls 💅🏼💄🌸,Wandsworth,sexism,2022-12-14 21:33:54+00:00,51.4570271,-0.1932607
odeon pic n mix,Islington,other,2022-12-14 21:20:32+00:00,51.5384287,-0.0999051
thick bitch,Enfield,sexism,2022-12-14 21:06:52+00:00,51.6520851,-0.0810175
ps fuck you france,City of London,racism,2022-12-14 20:56:24+00:00,51.515053699999996,-0.09311889867661148
ridiculous morocco and us all over them cunts,Bromley,racism,2022-12-14 20:56:09+00:00,51.36685695,0.061709076090816765
france said winner’s curse where,Barnet,other,2022-12-14 20:55:31+00:00,51.65309,-0.2002261
i thought was october rd 😭 i hate americans,Islington,racism,2022-12-14 20:51:29+00:00,51.5384287,-0.0999051
not the arabs 🙄,Islington,racism,2022-12-14 20:45:24+00:00,51.5384287,-0.0999051
ja those fxckrs do it unprovoked 😂,Islington,sexual_orientation,2022-12-14 20:44:40+00:00,51.5384287,-0.0999051
careful now the wi would wipe the floor with this woman and be whisking up an eggless sponge at the same time without breaking a sweat,Hillingdon,sexism,2022-12-14 20:44:37+00:00,51.542519299999995,-0.44833493117949663
women can’t afford private jets apparently,Camden Town,sexism,2022-12-14 20:36:25+00:00,51.5423045,-0.1395604
women are trash smh,Brent,sexism,2022-12-14 20:30:53+00:00,51.5639957,-0.27590641378489267
france are actually 💩 it’s so annoying little fouling diving rats as well 🤦🏻😂,Hackney,racism,2022-12-14 20:25:18+00:00,51.5432402,-0.0493621
haha… every time morocco attack couscous hota hai,Brent,other,2022-12-14 20:19:14+00:00,51.5639957,-0.27590641378489267
morocco should goal,Barnet,other,2022-12-14 20:13:09+00:00,51.65309,-0.2002261
konglaturations,Islington,racism,2022-12-14 20:11:14+00:00,51.5384287,-0.0999051
super smashed bro nnshake that ass hoe,Islington,sexism,2022-12-14 20:02:40+00:00,51.5384287,-0.0999051
france crumbling,Brent,racism,2022-12-14 19:48:02+00:00,51.5639957,-0.27590641378489267
damn this girl boring af,Barking,sexism,2022-12-14 19:38:51+00:00,51.5389922,0.0804245
france should already be out of sight 😳,Lambeth,racism,2022-12-14 19:35:59+00:00,51.4952111,-0.1163354
amp french cheese bonnne schance france,London,other,2022-12-14 19:08:59+00:00,36.4846239,-119.44405977174983
oh fuck morocco,Poplar,racism,2022-12-14 19:05:25+00:00,51.5110713,-0.0144629
go on you little wanker spank one out under your desk like you did at school craftywank,Poplar,sexism,2022-12-14 19:03:25+00:00,51.5110713,-0.0144629
whats up twitter 👣🧦💥 nany cah fags online feel like wrecking some pusses 😈💵💵💵nfindom cashmaster alpha alphagod finsub paypig humanatm socksworship socks feet feetfethish,London,sexual_orientation,2022-12-14 19:03:08+00:00,36.4846239,-119.44405977174983
🇬🇧 united kingdomnncapital londonnnregion europe amp central asianncreditn,London,other,2022-12-14 19:00:50+00:00,36.4846239,-119.44405977174983
british bullshit corporation,Ealing,other,2022-12-14 18:41:25+00:00,51.5126553,-0.3051952
shut up scabs,Ealing,racism,2022-12-14 18:40:33+00:00,51.5126553,-0.3051952
summer holiday bull nakano variant just dropped,Lewisham,other,2022-12-14 18:38:01+00:00,51.4624292,-0.0101787
hearts says morocco dream team says france fifaworldcup,Sutton,other,2022-12-14 18:31:29+00:00,51.3612155,-0.1921503
retards fighting,Romford,disability,2022-12-14 18:20:27+00:00,51.5760462,0.1822646
both the men and the pick me ass women in these quotes can go to fckn hell,London,sexism,2022-12-14 17:50:31+00:00,36.4846239,-119.44405977174983
what an earth does your daughter have to do with a fake vagina,Hillingdon,sexism,2022-12-14 17:44:34+00:00,51.542519299999995,-0.44833493117949663
sums this shithole country up really,Barking,other,2022-12-14 17:43:57+00:00,51.5389922,0.0804245
the illegal gimmigration migrant invasion will be most at home in the banana republic of waltham forest dont forget your stab vest,City of London,racism,2022-12-14 17:40:08+00:00,51.515053699999996,-0.09311889867661148
it’s a ploy to weed out the weak china don’t play,Kensington,racism,2022-12-14 17:39:06+00:00,51.4989948,-0.1991229
‘we have to protect horrible migrants from horrible gangs…no we have to protect people in stoke from horrible migrants… cuz they all voted leave right but brexit really wasn’t about horrible migrants except it was about horrible migrants and… i just hate migrants’,Paddington,racism,2022-12-14 16:36:21+00:00,51.5185075,-0.1787546
fuck nfuuuuuuuuuuucccckkkkkkknlondon is not opennits paralysednfuccccckkkkkkkk🤬🤬🤬🤬,Hammersmith,racism,2022-12-14 16:34:40+00:00,51.4920377,-0.2236401
oh dear name calling now femi lad,Harrow,sexual_orientation,2022-12-14 16:23:52+00:00,51.596827149999996,-0.3373046180437286
will trade gross whore moans for growth hormones,Paddington,sexism,2022-12-14 16:08:16+00:00,51.5185075,-0.1787546
champa without the nag,Paddington,racism,2022-12-14 15:08:44+00:00,51.5185075,-0.1787546
dude cant read,Wandsworth,other,2022-12-14 15:05:26+00:00,51.4570271,-0.1932607
loool punch me in the face through the phone yeah good lucknthere’s nothing wrong with a woman not liking allicent she’s not very likeable,Lewisham,sexism,2022-12-14 14:53:52+00:00,51.4624292,-0.0101787
german doner absolute shite,Barnet,other,2022-12-14 14:40:42+00:00,51.65309,-0.2002261
these ppl are terrifying fr,Merton,racism,2022-12-14 14:24:44+00:00,51.41086985,-0.18809708858824303
please god stop twinks asking what pokémon type they are there can only be so many poisonfairy,Lambeth,sexism,2022-12-14 14:13:07+00:00,51.4952111,-0.1163354
invigilating gcse mock exam arabic,Poplar,other,2022-12-14 14:12:36+00:00,51.5110713,-0.0144629
probably those actively facilitating china aren’t… oh,City of London,other,2022-12-14 13:51:21+00:00,51.515053699999996,-0.09311889867661148
men are actually mentally ill like all of them,Hackney,sexism,2022-12-14 13:42:01+00:00,51.5432402,-0.0493621
🇬🇧 united kingdomnncapital londonnnregion europe amp central asianncreditn,London,other,2022-12-14 13:30:40+00:00,36.4846239,-119.44405977174983
africa,Barking,other,2022-12-14 13:17:23+00:00,51.5389922,0.0804245
fucking scabs,Camden Town,racism,2022-12-14 13:16:15+00:00,51.5423045,-0.1395604
experimental hungarian quintet shell beach announce album new single ampamp debut uk performance,Greenwich,other,2022-12-14 13:09:58+00:00,51.46862565,0.04883057313755089
twat,Enfield,sexism,2022-12-14 12:59:09+00:00,51.6520851,-0.0810175
can we send this racist gorilla to rwanda,Bromley,racism,2022-12-14 12:29:26+00:00,51.36685695,0.061709076090816765
you cannot make up this propaganda and masks work and wuhan was not the source of the virus does anyone really believe this,Hammersmith,racism,2022-12-14 12:26:40+00:00,51.4920377,-0.2236401
nobody said they wanted to kill pets evernbut cox constantly seeking to kill more kids with his toxic fossil fuel pollutionnmurdochiangenocidalpropagandist,Camberwell,other,2022-12-14 12:20:38+00:00,51.4745706,-0.0925416
dtb means don’t trust bitches nwdym about don’t trust boys,London,sexism,2022-12-14 11:36:16+00:00,36.4846239,-119.44405977174983
chinas gdp unlikely to surpass us in next few decades jcer via,London,racism,2022-12-14 11:27:14+00:00,36.4846239,-119.44405977174983
right who’s going brentford h cos i cba if no cunts going,Poplar,sexism,2022-12-14 11:25:06+00:00,51.5110713,-0.0144629
can’t believe some of these women are laying down with a year old man and having a baby my dad’s age mates becos of money 😭,Lewisham,sexism,2022-12-14 11:12:26+00:00,51.4624292,-0.0101787
you literally caused this you absolute blithering witch,London,sexism,2022-12-14 10:57:27+00:00,36.4846239,-119.44405977174983
renard ❤️,Kensington,disability,2022-12-14 10:45:42+00:00,51.4989948,-0.1991229
thats not a good sister thats a demonic auntie sent down to cast down the souls of many mortal men,Kensington,sexism,2022-12-14 10:33:10+00:00,51.4989948,-0.1991229
so desperate these old white hags are clutching at straws,Harrow,racism,2022-12-14 10:30:10+00:00,51.596827149999996,-0.3373046180437286
morning horn nngaybbc gayhung gaylondon sloppyheadlover gaywank,London,sexual_orientation,2022-12-14 10:12:32+00:00,36.4846239,-119.44405977174983
he is so concerned about migrant rights what about our freezing homless rights how many have frozen to death this last few days not one politician has mentioned them having to endure this dreadful cold whilst illegals destroy the hotels there housed in🤬🤬🤬🤬🤬,Hounslow,racism,2022-12-14 09:31:16+00:00,51.4686132,-0.3613471
satan and his cohorts do not care for life because they are dead in their sins dont let dead people dictate to you saints of god send them back to the pit of hell hades sheol the abyss and the regions of the sea in the name of jesuschrist ✝️nnrevelation 📖,Barking,religion,2022-12-14 09:29:04+00:00,51.5389922,0.0804245
yeah unfortunately those are still 🐑🐑🐑🐑🐑🐑🐑🐑🐑🐑 sheep those cant really distinguish theirs own ass from theirs brains unfortunately 👍,Barnet,religion,2022-12-14 09:04:07+00:00,51.65309,-0.2002261
pakistan bankruptcy mayee hy aur tumhara leader world well known corrupt nawaz sharif lol,Poplar,other,2022-12-14 08:43:54+00:00,51.5110713,-0.0144629
